mode,response_norm,full_energy_norm,capture_ratio,structurally_blind
1,11.326884637374647,11.327173399138976,0.9999745071648368,False
2,11.958445329038856,11.962828420394388,0.9996336074378481,False
3,12.932579676999431,12.953118343415191,0.9984143844075816,False
4,14.164946262603944,14.224165712699351,0.995836701336899,False
5,15.576905626058686,15.707963267948966,0.9916566113852778,False
6,17.103932853400085,17.350012513921293,0.9858167444937715,False
7,18.69593248194646,19.10956207871615,0.9783548364391678,False
8,20.314549547342367,20.957036905261116,0.9693426431979295,False
9,21.93016001026443,22.87113974549008,0.9588573308677719,False
10,23.519426329133946,24.836470664490253,0.9469713570358714,False
11,25.06352427475324,26.84177939853323,0.9337504754294657,False
12,26.54691475008081,28.878739098029378,0.9192546343511345,False
13,27.9565076724631,30.941099316373162,0.9035395732584491,False
14,29.281094718329204,33.02410159747535,0.8866583283697173,False
15,30.51096320235264,35.12407365520363,0.8686624308405766,False
16,31.637631537979214,37.238144668512355,0.8496027882058046,False
17,32.65366653846391,39.36404312276661,0.8295303009557552,False
18,33.55255610000438,41.49995142153895,0.808496274108654,False
19,34.328619555152436,43.644399977663184,0.7865526750905389,False
20,34.97694372327874,45.7961890907037,0.7637522775968013,False
21,35.49333646372224,47.95433062251855,0.7401487207300348,False
22,35.874292044209724,50.11800395144684,0.7157965045647849,False
23,36.11696431563188,52.286522346602396,0.6907509372341872,False
24,36.21914481898889,54.45930703311742,0.6650680442364709,False
25,6.434830330765402e-14,56.63586699569489,1.1361758320490686e-15,True
26,35.996272037806946,58.81578310778341,0.612017219456921,False
27,35.66982387405437,60.99869555335333,0.5847637158544691,False
28,35.20005787574322,63.18429377812689,0.55710138977495,False
29,34.58767703355984,65.37230840097122,0.5290875889131977,False
30,33.833906346701,67.56250465682743,0.5007793378672791,False
31,32.94046792842702,69.75467704560786,0.47223310785152767,False
32,31.909553403264574,71.948644937701,0.4435045778957264,False
33,30.74379383701613,74.14424894357467,0.4146483951899331,False
34,29.44622815410387,76.3413478977367,0.3857179492501058,False
35,28.020272328691185,78.53981633974483,0.3567651878313804,False
36,26.469694151482173,80.73954239974067,0.32784052726520274,False
37,24.79860315123871,82.94042601505784,0.2989929560614569,False
38,23.01147436678641,85.14237741923897,0.2702705170361696,False
39,21.11324215314809,87.34531585633012,0.24172151587242746,False
40,19.109533892421286,89.54916848237679,0.21339711151178392,False
41,17.007178404467215,91.75386942319774,0.1853565251403704,False
42,14.815247936077977,93.95935896319446,0.15767719256025758,False
43,12.547123325151727,96.16558284449134,0.1304741566995085,False
44,10.224471986507801,98.37249165934608,0.1039362916811552,False
45,7.884606551461774,100.58004032170892,0.0783913639947108,False
46,5.5930932635409025,102.7881876061941,0.05441377451822935,False
47,3.4620728967824905,104.99689574466863,0.032973097654254054,False
48,1.6673383124599088,107.20613007225174,0.015552639679617234,False
49,0.4401855337562837,109.41585871582505,0.004023050578979908,False
50,3.0428199950100843e-13,111.62605231922929,2.7259048687919174e-15,True
51,0.4398367352462153,113.83668380021585,0.003863752180431852,False
52,1.6646907418361787,116.04772813496363,0.014344880064348538,False
53,3.45379742886979,118.2591621665891,0.02920532638312202,False
54,5.575175744699428,120.47096443459685,0.046278169771988224,False
55,7.852820191652019,122.68311502265205,0.06400897295607537,False
56,10.174594047895852,124.89559542242364,0.08146479476304345,False
57,12.474997148187775,127.10838841155716,0.09814456232263506,False
58,14.716778242271266,129.32147794409835,0.11379995400789397,False
59,16.878305466006136,131.5348490519134,0.12831812700332143,False
60,18.946204542932197,133.7484877558414,0.14165546736886175,False
61,20.911382994582574,135.96238098547838,0.15380271250777844,False
62,22.766967803855884,138.17651650663132,0.16476727290171092,False
63,24.507265440990345,140.3908828556023,0.17456450833917084,False
64,26.12725438080827,142.60546927956383,0.1832135507340773,False
65,27.622351301641952,144.82026568237916,0.1907353999903818,False
66,28.988316295234952,147.035262575296,0.19715213743635263,False
67,30.22122730890885,149.2504510320109,0.20248667323911185,False
68,31.31748767643201,151.4658226476594,0.20676273451657087,False
69,32.27384803046924,153.68136950133817,0.21000494812865536,False
70,33.0874329584048,155.89708412180948,0.2122389468975063,False
71,33.755767494171586,158.11295945607793,0.21349146591332113,False
72,34.27680100601491,160.32898884056254,0.2137904146585812,False
73,34.648927318142704,162.5451659746183,0.21316492010321114,False
74,34.87100055394059,164.76148489618646,0.211645340389547,False
75,3.1785508936185917e-13,166.97793995937738,1.9035753431811854e-15,True
76,34.86276947469374,169.194525813809,0.20605140330047472,False
77,34.63255458535271,171.41123738554313,0.2020436647771007,False
78,34.25246556770276,173.62806985947705,0.19727493138306734,False
79,33.72373802048462,175.84501866306294,0.19178102556946894,False
80,33.04806815793375,178.06207945123958,0.18559857472058566,False
