seed,localization_epoch,localized_mu,localized_baseline_mobile,first_interaction_10x_epoch,persistent_mobility_collapse_onset_epoch,certified_adam_conflict_onset_epoch,persistent_collapse_precedes_conflict,interaction_10x_precedes_or_equals_collapse,conflict_mu,conflict_interaction_factor,strong_interaction_at_conflict,conflict_notch_ratio,conflict_kernel_drop_contribution,conflict_residual_drop_contribution,n_full_audits
15,25,0.10680229079948002,True,1000,500,1850,True,False,1.102714509595693e-08,81.23647146452646,False,1.0244960205474236e-07,2.190917269350265,13.895212695409398,9
16,50,0.011132957099534218,True,1000,500,1775,True,False,6.773968277868573e-09,157.87141413773625,True,2.1764654881683156e-06,3.80541540469605,10.50691789909676,9
17,25,0.14242557868872335,True,1000,750,2225,True,False,5.141760272869633e-09,413.51932137692097,True,3.323930013072319e-08,2.9297538777420344,14.207180802314445,10
18,50,0.008487473770702674,True,1000,500,2425,True,False,2.750850836208714e-09,420.515818693462,True,6.260646535517807e-07,3.679120559682604,11.263071142006691,11
19,50,0.0118108421893244,True,1000,750,2300,True,False,2.7599425201678212e-09,725.4869999176587,True,5.178419671111472e-07,4.089144496343637,11.180174147344452,11
