adjunct_mesh,union_seen_fraction,gain_over_self26,n_raw_functions,numerical_rank,gram_condition_positive,qualifies_union_rescue
25,0.5718221416833205,10058056987.392206,49,49,294668.0314759798,True
27,0.6179688231206419,10869753348.62311,51,51,344292.07568721497,True
28,0.4676697159223375,8226069456.102703,52,51,24430.809829352853,True
29,0.6725958253205735,11830614184.756306,53,53,729145.4303550421,True
30,0.6122305982859613,10768820928.930885,54,53,41909.20615379241,True
